passage_id,title,theme,text,question_id,question_number,question_type,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,region_alignment,age_band,qa_status,content_pool
P18,The Frozen River,FICTION (ADVENTURE),"The river had not frozen in living memory, and yet here it was — a broad, grey shelf of ice stretching from bank to bank, solid enough to hold a cart and horse if the farmers were brave enough to try. Eliza was not a farmer, and she was not sure she was brave either, but she needed to reach the mill on the far bank before nightfall, and the bridge upstream had collapsed in the autumn floods.

She stepped onto the ice carefully, testing each footfall before committing her weight. It held. She took another step, and another. Halfway across, she heard a sound that stopped her cold: a low, resonant groan from deep beneath her feet, as though the river were waking and finding its blanket uncomfortably heavy.

She did not run. She had read enough to know that running was exactly the wrong thing to do.",P18_Q1,11,Inference,medium,Why does Eliza not use the bridge to cross the river?,The bridge is too far away and she does not have time to reach it.,The bridge was destroyed in floods earlier in the year.,The bridge is guarded and she is not allowed to use it.,The bridge is made of ice and she does not trust it.,B,The passage states “the bridge upstream had collapsed in the autumn floods.” This is why Eliza has to cross the frozen river instead. The answer is B.,GL_Bucks,Y6,approved,comprehension_100
P18,The Frozen River,FICTION (ADVENTURE),"The river had not frozen in living memory, and yet here it was — a broad, grey shelf of ice stretching from bank to bank, solid enough to hold a cart and horse if the farmers were brave enough to try. Eliza was not a farmer, and she was not sure she was brave either, but she needed to reach the mill on the far bank before nightfall, and the bridge upstream had collapsed in the autumn floods.

She stepped onto the ice carefully, testing each footfall before committing her weight. It held. She took another step, and another. Halfway across, she heard a sound that stopped her cold: a low, resonant groan from deep beneath her feet, as though the river were waking and finding its blanket uncomfortably heavy.

She did not run. She had read enough to know that running was exactly the wrong thing to do.",P18_Q2,12,Vocabulary in Context,medium,"In the passage, “resonant” most likely means:","Deep and full in sound, echoing through a large space","Sharp and sudden, like a crack or snap","Quiet and distant, almost too faint to hear","Rhythmic and repetitive, like footsteps",A,"“Resonant” describes a sound that is deep, rich, and reverberating. The groan from beneath the ice is described as “low” and “resonant” — it vibrates through the ice and feels as much as it is heard. The answer is A.",GL_Bucks,Y6,approved,comprehension_100
P18,The Frozen River,FICTION (ADVENTURE),"The river had not frozen in living memory, and yet here it was — a broad, grey shelf of ice stretching from bank to bank, solid enough to hold a cart and horse if the farmers were brave enough to try. Eliza was not a farmer, and she was not sure she was brave either, but she needed to reach the mill on the far bank before nightfall, and the bridge upstream had collapsed in the autumn floods.

She stepped onto the ice carefully, testing each footfall before committing her weight. It held. She took another step, and another. Halfway across, she heard a sound that stopped her cold: a low, resonant groan from deep beneath her feet, as though the river were waking and finding its blanket uncomfortably heavy.

She did not run. She had read enough to know that running was exactly the wrong thing to do.",P18_Q3,13,Inference,hard,What does the phrase “finding its blanket uncomfortably heavy” suggest?,The river is beginning to thaw and the ice is cracking under Eliza’s weight.,The river is frozen so deeply that it will not thaw until spring.,The author is describing the river as if it were a sleeping creature disturbed by the ice.,Eliza is carrying heavy equipment that is making the ice more dangerous.,C,"This is personification — the author describes the river as though it is a sleeping creature waking up and feeling the weight of its ice “blanket.” This is a literary device to create tension, not a literal statement. The answer is C.",GL_Bucks,Y6,approved,comprehension_100
P18,The Frozen River,FICTION (ADVENTURE),"The river had not frozen in living memory, and yet here it was — a broad, grey shelf of ice stretching from bank to bank, solid enough to hold a cart and horse if the farmers were brave enough to try. Eliza was not a farmer, and she was not sure she was brave either, but she needed to reach the mill on the far bank before nightfall, and the bridge upstream had collapsed in the autumn floods.

She stepped onto the ice carefully, testing each footfall before committing her weight. It held. She took another step, and another. Halfway across, she heard a sound that stopped her cold: a low, resonant groan from deep beneath her feet, as though the river were waking and finding its blanket uncomfortably heavy.

She did not run. She had read enough to know that running was exactly the wrong thing to do.",P18_Q4,14,Authorial Intent,medium,Why does the author end the passage with “She did not run. She had read enough to know that running was exactly the wrong thing to do”?,To show that Eliza is reckless and ignores danger.,"To suggest that Eliza’s calmness and knowledge are what will save her — making her a capable, thinking character.",To tell the reader that Eliza is frightened and cannot move her legs.,To imply that Eliza has been in this situation before and is not worried.,B,The ending shows Eliza is neither panicking nor reckless. Her knowledge — “she had read enough” — is presented as her strength. The author is characterising her as resourceful and intelligent. The answer is B.,GL_Bucks,Y6,approved,comprehension_100
P18,The Frozen River,FICTION (ADVENTURE),"The river had not frozen in living memory, and yet here it was — a broad, grey shelf of ice stretching from bank to bank, solid enough to hold a cart and horse if the farmers were brave enough to try. Eliza was not a farmer, and she was not sure she was brave either, but she needed to reach the mill on the far bank before nightfall, and the bridge upstream had collapsed in the autumn floods.

She stepped onto the ice carefully, testing each footfall before committing her weight. It held. She took another step, and another. Halfway across, she heard a sound that stopped her cold: a low, resonant groan from deep beneath her feet, as though the river were waking and finding its blanket uncomfortably heavy.

She did not run. She had read enough to know that running was exactly the wrong thing to do.",P18_Q5,15,Fact Retrieval,easy,Where is Eliza trying to reach before nightfall?,The bridge upstream,The far bank of the river,The mill on the far bank,The nearest farm,C,The passage says Eliza “needed to reach the mill on the far bank before nightfall.” The answer is C.,GL_Bucks,Y6,approved,comprehension_100
P19,The Midnight Zone,DEEP SEA,"Below one thousand metres, the ocean becomes a place of permanent darkness. No sunlight reaches this depth, which scientists call the bathypelagic zone or, more evocatively, the midnight zone. The pressure here is more than one hundred times greater than at the surface, the temperature hovers just above freezing, and food is extraordinarily scarce.

Yet life persists. Creatures of the midnight zone have evolved remarkable adaptations: the anglerfish dangles a bioluminescent lure from its head to attract prey in the darkness; the vampire squid — despite its name, neither a true squid nor an octopus — expels a cloud of bioluminescent mucus to confuse predators; the barreleye fish has transparent fluid-filled eyes that rotate to scan for the faint silhouettes of prey above.

We have explored less than twenty percent of the ocean floor, and scientists believe that thousands of species in the midnight zone remain undiscovered.",P19_Q1,16,Vocabulary in Context,hard,"In the passage, “evocatively” most likely means:",In a way that is technically accurate and scientifically precise,In a way that is vivid and calls up a strong image or feeling,In a way that is simple enough for non-scientists to understand,In a way that is officially recognised and approved by experts,B,"“Evocatively” means in a way that evokes — that is, calls up — a strong image or emotion. The author contrasts the dry scientific term “bathypelagic zone” with the more vivid name “midnight zone,” noting the latter is more evocative. The answer is B.",GL_Bucks,Y6,approved,comprehension_100
P19,The Midnight Zone,DEEP SEA,"Below one thousand metres, the ocean becomes a place of permanent darkness. No sunlight reaches this depth, which scientists call the bathypelagic zone or, more evocatively, the midnight zone. The pressure here is more than one hundred times greater than at the surface, the temperature hovers just above freezing, and food is extraordinarily scarce.

Yet life persists. Creatures of the midnight zone have evolved remarkable adaptations: the anglerfish dangles a bioluminescent lure from its head to attract prey in the darkness; the vampire squid — despite its name, neither a true squid nor an octopus — expels a cloud of bioluminescent mucus to confuse predators; the barreleye fish has transparent fluid-filled eyes that rotate to scan for the faint silhouettes of prey above.

We have explored less than twenty percent of the ocean floor, and scientists believe that thousands of species in the midnight zone remain undiscovered.",P19_Q2,17,Fact Retrieval,easy,How does the anglerfish attract prey in the darkness?,It emits a cloud of bioluminescent mucus.,It uses transparent eyes to scan for silhouettes.,It dangles a bioluminescent lure from its head.,It produces a sound that draws prey towards it.,C,The passage states the anglerfish “dangles a bioluminescent lure from its head to attract prey in the darkness.” The answer is C.,GL_Bucks,Y6,approved,comprehension_100
P19,The Midnight Zone,DEEP SEA,"Below one thousand metres, the ocean becomes a place of permanent darkness. No sunlight reaches this depth, which scientists call the bathypelagic zone or, more evocatively, the midnight zone. The pressure here is more than one hundred times greater than at the surface, the temperature hovers just above freezing, and food is extraordinarily scarce.

Yet life persists. Creatures of the midnight zone have evolved remarkable adaptations: the anglerfish dangles a bioluminescent lure from its head to attract prey in the darkness; the vampire squid — despite its name, neither a true squid nor an octopus — expels a cloud of bioluminescent mucus to confuse predators; the barreleye fish has transparent fluid-filled eyes that rotate to scan for the faint silhouettes of prey above.

We have explored less than twenty percent of the ocean floor, and scientists believe that thousands of species in the midnight zone remain undiscovered.",P19_Q3,18,Inference,hard,What does the author imply by saying the vampire squid is “neither a true squid nor an octopus”?,Scientists have not yet classified the vampire squid and it may be a new species.,The vampire squid’s name is misleading — it does not accurately describe what the creature is.,The vampire squid is more dangerous than either squids or octopuses.,The vampire squid was incorrectly named by the scientist who first discovered it.,B,The parenthetical remark corrects the reader’s likely assumption — the name “vampire squid” is not a scientific description but a common name that does not reflect its actual classification. The author is noting the gap between the colourful name and the biological reality. The answer is B.,GL_Bucks,Y6,approved,comprehension_100
P19,The Midnight Zone,DEEP SEA,"Below one thousand metres, the ocean becomes a place of permanent darkness. No sunlight reaches this depth, which scientists call the bathypelagic zone or, more evocatively, the midnight zone. The pressure here is more than one hundred times greater than at the surface, the temperature hovers just above freezing, and food is extraordinarily scarce.

Yet life persists. Creatures of the midnight zone have evolved remarkable adaptations: the anglerfish dangles a bioluminescent lure from its head to attract prey in the darkness; the vampire squid — despite its name, neither a true squid nor an octopus — expels a cloud of bioluminescent mucus to confuse predators; the barreleye fish has transparent fluid-filled eyes that rotate to scan for the faint silhouettes of prey above.

We have explored less than twenty percent of the ocean floor, and scientists believe that thousands of species in the midnight zone remain undiscovered.",P19_Q4,19,Authorial Intent,medium,What is the main purpose of the final sentence?,To criticise scientists for not doing enough ocean research,To suggest that the creatures already described are the most important ones in the ocean,To leave the reader with a sense of wonder — the ocean holds far more mysteries than we yet understand,To warn that undiscovered species may be dangerous to humans,C,"The final sentence opens up the subject rather than closing it down. By revealing how little we have explored, the author ends with a sense of vast, ongoing mystery. The answer is C.",GL_Bucks,Y6,approved,comprehension_100
P19,The Midnight Zone,DEEP SEA,"Below one thousand metres, the ocean becomes a place of permanent darkness. No sunlight reaches this depth, which scientists call the bathypelagic zone or, more evocatively, the midnight zone. The pressure here is more than one hundred times greater than at the surface, the temperature hovers just above freezing, and food is extraordinarily scarce.

Yet life persists. Creatures of the midnight zone have evolved remarkable adaptations: the anglerfish dangles a bioluminescent lure from its head to attract prey in the darkness; the vampire squid — despite its name, neither a true squid nor an octopus — expels a cloud of bioluminescent mucus to confuse predators; the barreleye fish has transparent fluid-filled eyes that rotate to scan for the faint silhouettes of prey above.

We have explored less than twenty percent of the ocean floor, and scientists believe that thousands of species in the midnight zone remain undiscovered.",P19_Q5,20,Fact Retrieval,medium,"What percentage of the ocean floor have scientists explored, according to the passage?",Less than five percent,Less than twenty percent,About fifty percent,More than seventy-five percent,B,The passage states “We have explored less than twenty percent of the ocean floor.” The answer is B.,GL_Bucks,Y6,approved,comprehension_100
P20,Writing on Stone,ANCIENT EGYPT,"For nearly fifteen hundred years after the fall of the Roman Empire, nobody in the world could read Ancient Egyptian hieroglyphics. The writing system — using over seven hundred distinct symbols representing sounds, words, and ideas — had been forgotten entirely, and the monuments of Egypt stood as beautiful but impenetrable puzzles.

The breakthrough came in 1799, when French soldiers digging fortifications near the town of Rosetta in Egypt uncovered a large stone slab. Carved on it was the same decree written three times: once in hieroglyphics, once in a later Egyptian script called Demotic, and once in Ancient Greek. Since Greek was a language that scholars could read, it provided the key. By 1822, the French scholar Jean-François Champollion had used the Rosetta Stone to decode the hieroglyphic system, unlocking thousands of years of Egyptian history that had been silent for centuries.",P20_Q1,21,Fact Retrieval,easy,In what year was the Rosetta Stone discovered?,1799,1822,1750,1900,A,"The passage states the stone was discovered in 1799, when French soldiers were digging fortifications near Rosetta. The answer is A.",GL_Bucks,Y6,approved,comprehension_100
P20,Writing on Stone,ANCIENT EGYPT,"For nearly fifteen hundred years after the fall of the Roman Empire, nobody in the world could read Ancient Egyptian hieroglyphics. The writing system — using over seven hundred distinct symbols representing sounds, words, and ideas — had been forgotten entirely, and the monuments of Egypt stood as beautiful but impenetrable puzzles.

The breakthrough came in 1799, when French soldiers digging fortifications near the town of Rosetta in Egypt uncovered a large stone slab. Carved on it was the same decree written three times: once in hieroglyphics, once in a later Egyptian script called Demotic, and once in Ancient Greek. Since Greek was a language that scholars could read, it provided the key. By 1822, the French scholar Jean-François Champollion had used the Rosetta Stone to decode the hieroglyphic system, unlocking thousands of years of Egyptian history that had been silent for centuries.",P20_Q2,22,Vocabulary in Context,medium,"In the passage, “impenetrable” most likely means:",Impossible to understand or get through,Extremely beautiful and worth preserving,"Very old and fragile, needing careful handling",Widely known and studied by scholars,A,“Impenetrable” means impossible to enter or understand — here it describes the hieroglyphics as puzzles that could not be “broken into” or decoded. The answer is A.,GL_Bucks,Y6,approved,comprehension_100
P20,Writing on Stone,ANCIENT EGYPT,"For nearly fifteen hundred years after the fall of the Roman Empire, nobody in the world could read Ancient Egyptian hieroglyphics. The writing system — using over seven hundred distinct symbols representing sounds, words, and ideas — had been forgotten entirely, and the monuments of Egypt stood as beautiful but impenetrable puzzles.

The breakthrough came in 1799, when French soldiers digging fortifications near the town of Rosetta in Egypt uncovered a large stone slab. Carved on it was the same decree written three times: once in hieroglyphics, once in a later Egyptian script called Demotic, and once in Ancient Greek. Since Greek was a language that scholars could read, it provided the key. By 1822, the French scholar Jean-François Champollion had used the Rosetta Stone to decode the hieroglyphic system, unlocking thousands of years of Egyptian history that had been silent for centuries.",P20_Q3,23,Inference,medium,Why was Ancient Greek the key to decoding the hieroglyphics?,Greek and Egyptian are related languages with the same alphabet.,"Scholars could already read Greek, so the identical text in Greek revealed what the hieroglyphics said.",Champollion spoke Greek as his first language and recognised many words.,Greek hieroglyphics were simpler and easier to understand than Egyptian ones.,B,"Because the same message was written in all three scripts, the readable Greek text could be compared with the unreadable hieroglyphics — if you know what one version says, you can work out what the other means. The answer is B.",GL_Bucks,Y6,approved,comprehension_100
P20,Writing on Stone,ANCIENT EGYPT,"For nearly fifteen hundred years after the fall of the Roman Empire, nobody in the world could read Ancient Egyptian hieroglyphics. The writing system — using over seven hundred distinct symbols representing sounds, words, and ideas — had been forgotten entirely, and the monuments of Egypt stood as beautiful but impenetrable puzzles.

The breakthrough came in 1799, when French soldiers digging fortifications near the town of Rosetta in Egypt uncovered a large stone slab. Carved on it was the same decree written three times: once in hieroglyphics, once in a later Egyptian script called Demotic, and once in Ancient Greek. Since Greek was a language that scholars could read, it provided the key. By 1822, the French scholar Jean-François Champollion had used the Rosetta Stone to decode the hieroglyphic system, unlocking thousands of years of Egyptian history that had been silent for centuries.",P20_Q4,24,Authorial Intent,medium,Why does the author describe the monuments of Egypt as “beautiful but impenetrable puzzles”?,To criticise ancient Egyptians for making their writing unnecessarily complicated,To emphasise the frustration that the knowledge was there but nobody could access it,To suggest that hieroglyphics are more decorative than informative,To show that archaeologists had no interest in reading the monuments,B,"The phrase sets up the tension at the heart of the passage — visible, physically present knowledge that was entirely inaccessible. This makes the eventual decoding more dramatic. The answer is B.",GL_Bucks,Y6,approved,comprehension_100
P20,Writing on Stone,ANCIENT EGYPT,"For nearly fifteen hundred years after the fall of the Roman Empire, nobody in the world could read Ancient Egyptian hieroglyphics. The writing system — using over seven hundred distinct symbols representing sounds, words, and ideas — had been forgotten entirely, and the monuments of Egypt stood as beautiful but impenetrable puzzles.

The breakthrough came in 1799, when French soldiers digging fortifications near the town of Rosetta in Egypt uncovered a large stone slab. Carved on it was the same decree written three times: once in hieroglyphics, once in a later Egyptian script called Demotic, and once in Ancient Greek. Since Greek was a language that scholars could read, it provided the key. By 1822, the French scholar Jean-François Champollion had used the Rosetta Stone to decode the hieroglyphic system, unlocking thousands of years of Egyptian history that had been silent for centuries.",P20_Q5,25,Fact Retrieval,easy,How many distinct symbols does the Ancient Egyptian hieroglyphic writing system use?,Twenty-six,Over one thousand,Over seven hundred,Exactly one hundred,C,The passage describes the system as “using over seven hundred distinct symbols.” The answer is C.,GL_Bucks,Y6,approved,comprehension_100
P21,The Milkmaid,MEDICINE / VACCINES,"In the 1790s, a country doctor in Gloucestershire named Edward Jenner noticed something that his colleagues had long dismissed as folk wisdom: milkmaids who contracted cowpox — a mild disease caught from cattle — seemed never to catch smallpox, one of the deadliest diseases in the world. Jenner decided to test the idea properly.

In 1796, he took material from a cowpox sore on a milkmaid’s hand and introduced it into small cuts on the arm of an eight-year-old boy named James Phipps. The boy developed a mild fever and recovered. Jenner then deliberately exposed James to smallpox — a test that would be considered deeply unethical today — and the boy did not fall ill.

Jenner called his method “vaccination,” from the Latin word for cow. It was the world’s first vaccine. Smallpox was eventually eradicated in 1980, making it the only human infectious disease to have been wiped out entirely.",P21_Q1,26,Fact Retrieval,easy,What was Edward Jenner’s profession?,A milkmaid,A country doctor,A university scientist,A farmer,B,The passage describes Jenner as “a country doctor in Gloucestershire.” The answer is B.,GL_Bucks,Y6,approved,comprehension_100
P21,The Milkmaid,MEDICINE / VACCINES,"In the 1790s, a country doctor in Gloucestershire named Edward Jenner noticed something that his colleagues had long dismissed as folk wisdom: milkmaids who contracted cowpox — a mild disease caught from cattle — seemed never to catch smallpox, one of the deadliest diseases in the world. Jenner decided to test the idea properly.

In 1796, he took material from a cowpox sore on a milkmaid’s hand and introduced it into small cuts on the arm of an eight-year-old boy named James Phipps. The boy developed a mild fever and recovered. Jenner then deliberately exposed James to smallpox — a test that would be considered deeply unethical today — and the boy did not fall ill.

Jenner called his method “vaccination,” from the Latin word for cow. It was the world’s first vaccine. Smallpox was eventually eradicated in 1980, making it the only human infectious disease to have been wiped out entirely.",P21_Q2,27,Vocabulary in Context,medium,"In the passage, “eradicated” most likely means:",Greatly reduced but still present in small numbers,Renamed and reclassified by scientists,Completely wiped out and no longer existing,Controlled with medication but not cured,C,The passage confirms the meaning immediately after: “making it the only human infectious disease to have been wiped out entirely.” Eradicated means completely eliminated. The answer is C.,GL_Bucks,Y6,approved,comprehension_100
